ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oú priorytetowa <Kod>;Dzia≥anie <Kod>;Poddzia≥anie <Kod>;WartoúÊ ogÛ≥em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;MiejscowoúÊ;WojewÛdztwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p≥atnoúÊ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoÒczony (Wniosek o p≥atnoúÊ koÒcowπ);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
33-30;33;Projekt;Wykorzystanie materia≥Ûw i konstrukcji inteligentnych do opracowania koncepcji i wykonania innowacyjnego systemu ≥oøyskowania wirnikÛw mikroturbin energetycznych;POIG.01.03.01-00-027/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;7,388,282.00;7,388,282.00;7,388,282.00;6,280,039.70;Uniwersytet WarmiÒsko-Mazurski w Olsztynie;7393033097;10-719;Olsztyn;WarmiÒsko-mazurskie;Powiat m. Olsztyn;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;;;2011/04/28;2011/04/29
33-31;33;Projekt;Opracowanie systemu uprawy gleby dla rolnictwa zrÛwnowaøonego.;POIG.01.03.01-00-042/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;3,575,674.00;3,326,295.00;3,326,295.00;2,827,350.75;Instytut Technologiczno-Przyrodniczy;5342437004;05-090;Falenty;Mazowieckie;Powiat pruszkowski;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;;;2011/05/13;2011/05/13
33-32;33;Projekt;Kompozyty polimerowe o podwyøszonej stabilnoúci termicznej i obniøonej palnoúci;POIG.01.03.01-00-044/08-07;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;4,111,685.43;4,093,600.00;4,093,600.00;3,479,560.00;G≥Ûwny Instytut GÛrnictwa;6340126016;40-166;Katowice;ålπskie;Powiat m. Katowice;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-044/08-19;Nie;2011/04/01;2011/04/05
33-33;33;Projekt;Innowacyjne materia≥y do zastosowaÒ w energooszczÍdnych i proekologicznych urzπdzeniach elektrycznych.;POIG.01.03.01-00-058/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;16,145,083.00;16,145,083.00;16,145,083.00;13,723,320.55;Instytut Metali Nieøelaznych;6310200771;44-101;Gliwice;;;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-058/08-23;Nie;2011/03/21;2011/03/22
33-34;33;Projekt;Inteligentne pancerze pasywne z zastosowaniem cieczy reologicznych ze strukturami nano;POIG.01.03.01-00-060/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;5,399,318.00;5,279,892.87;5,279,892.87;4,487,908.94;Politechnika Warszawska;5250005834;00-661;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;POIG.01.03.01-00-060/08-15;Nie;2011/03/21;2011/03/21
33-35;33;Projekt;Optymalizacja diagnostyki i terapii zaburzeÒ rytmu serca i omdleÒ przy zastosowaniu inteligentnych rozwiπzaÒ telemetrycznych;POIG.01.03.01-00-068/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;9,985,690.80;9,985,690.80;9,985,690.80;8,487,837.18;Instytut Kardiologii im. Prymasa Tysiπclecia Stefana Kardyna≥a WyszyÒskiego;5250008525;04-628;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-068/09-15;Nie;2011/01/31;2011/01/31
33-36;33;Projekt;Nanokompozyty polimerowe o zwiÍkszonej odpornoúci na dzia≥anie mikroorganizmÛw;POIG.01.03.01-00-073/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;5,252,300.41;4,930,000.00;4,930,000.00;4,190,500.00;Instytut Chemii Przemys≥owej im. prof. Ignacego Moúcickiego;5250007939;01-793;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-073/08-23;Nie;2011/04/18;2011/04/19
33-37;33;Projekt;Zaawansowane technologie wytwarzania materia≥Ûw funkcjonalnych do przewodzenia, przetwarzania, magazynowania energii;POIG.01.03.01-00-086/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;18,116,234.00;18,116,234.00;18,116,234.00;15,398,798.90;Instytut Metali Nieøelaznych;6310200771;44-100;Gliwice;ålπskie;Powiat m. Gliwice;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-086/09-21;Nie;2011/03/17;2011/03/18
33-38;33;Projekt;†Termosterowalne polimery biozgodne jako zamienniki skÛry do leczenia oparzeÒ i ran;POIG.01.03.01-00-088/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;9,819,345.00;9,819,345.00;9,819,345.00;8,346,443.25;Centrum Materia≥Ûw Polimerowych i WÍglowych PAN;6480006714;41-819;Zabrze;ålπskie;Powiat m. Zabrze;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;;;2011/05/19;2011/05/19
33-39;33;Projekt;SYSTEM CI•G£EJ KONTROLI STOPNIA I TEMPA PROCESU STARZENIA PALIW P£YNNYCH W TRAKCIE MAGAZYNOWANIA;POIG.01.03.01-00-106/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;7,667,555.79;6,980,220.66;6,980,220.66;5,933,187.56;Przemys≥owy Instytut Motoryzacji;5250008821;03-301;Warszawa ;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-106/09-08;Nie;2011/02/28;2011/03/07
33-40;33;Projekt;Polskie szczepy Trichoderma w ochronie roúlin i zagospodarowaniu odpadÛw organicznych.;POIG.01.03.01-00-129/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;12,055,055.23;11,169,299.44;11,169,299.44;9,493,904.52;Instytut Ogrodnictwa;8361848508;96-100;Skierniewice;£Ûdzkie;Powiat m. Skierniewice / Powiat skierniewicki;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-129/09-13;Nie;2011/03/11;2011/03/14
